id,validate_year,validate_month,real_year,real_month,next_year,next_month,months_delayed,comentaries,result,model_object_id
1,2012,12,,,2013,6,38,Backtest Inicial,FALSE,1
2,2014,3,,,2014,9,23,Backtest Inicial,TRUE,2
3,2016,1,,,2017,1,0,Backtest Inicial,TRUE,3
4,2016,1,,,2017,1,0,Backtest Inicial,TRUE,4
5,2016,1,,,2016,7,1,Backtest Inicial,TRUE,5
6,2016,3,,,2017,3,0,Backtest Inicial,TRUE,6
7,2016,1,,,2017,1,0,Backtest Inicial,TRUE,7
8,2016,2,,,2017,1,0,Backtest Inicial,TRUE,8
9,2013,12,,,2014,12,20,Backtest Inicial,TRUE,9
10,2016,1,,,2017,1,0,Backtest Inicial,TRUE,10
11,2016,1,,,2017,1,0,Backtest Inicial,TRUE,11
12,2015,12,,,2016,6,2,Backtest Inicial,TRUE,13
13,2015,12,,,2016,6,2,Backtest Inicial,TRUE,14
14,2016,06,,,2016,12,0,Backtest Inicial,TRUE,15
15,2016,1,,,2017,1,0,Backtest Inicial,TRUE,16
16,2016,1,,,2017,1,0,Backtest Inicial,TRUE,17
17,2016,1,,,2017,1,0,Backtest Inicial,TRUE,18
18,2016,1,,,2017,1,0,Backtest Inicial,TRUE,19
19,2014,10,,,2015,10,10,Backtest Inicial,TRUE,20
20,2014,10,,,2015,10,10,Backtest Inicial,TRUE,21
21,2014,10,,,2015,10,10,Backtest Inicial,TRUE,22
22,2016,3,,,2017,3,0,Backtest Inicial,TRUE,23
23,2015,11,,,2015,11,9,Backtest Inicial,TRUE,24
24,2016,2,,,2016,8,0,Backtest Inicial,TRUE,25
25,2015,3,,,2015,6,14,Backtest Inicial,TRUE,26
26,2015,12,,,2016,1,7,Backtest Inicial,TRUE,27
27,2015,12,,,2016,12,0,Backtest Inicial,TRUE,28
28,2013,10,,,2014,10,22,Backtest Inicial,TRUE,29
29,2013,10,,,2014,10,22,Backtest Inicial,FALSE,30
30,2016,2,,,2017,2,0,Backtest Inicial,FALSE,31
31,2013,10,,,2014,10,22,Backtest Inicial,TRUE,32
32,2013,11,,,2014,11,21,Backtest Inicial,TRUE,33
33,2013,11,,,2014,11,21,Backtest Inicial,TRUE,34
34,2015,11,,,2016,5,3,Backtest Inicial,FALSE,37
35,2016,1,,,2017,1,0,Backtest Inicial,TRUE,38
36,2016,1,,,2017,1,0,Backtest Inicial,TRUE,39
37,2016,1,,,2017,1,0,Backtest Inicial,TRUE,40
38,2016,1,,,2017,1,0,Backtest Inicial,TRUE,41
39,2015,10,,,2016,10,0,Backtest Inicial,TRUE,42
40,2016,1,,,2017,1,0,Backtest Inicial,TRUE,43
41,2016,1,,,2017,1,0,Backtest Inicial,TRUE,44
42,2016,1,,,2017,1,0,Backtest Inicial,TRUE,45
43,2016,1,,,2017,1,0,Backtest Inicial,TRUE,46
44,2016,6,,,2016,12,0,Backtest Inicial,TRUE,47
45,2016,6,,,2016,12,0,Backtest Inicial,TRUE,48
46,2016,6,,,2016,12,0,Backtest Inicial,TRUE,49
47,2016,6,,,2016,12,0,Backtest Inicial,TRUE,50
48,2016,1,,,2017,1,0,Backtest Inicial,TRUE,51
49,2016,3,,,2017,3,0,Backtest Inicial,TRUE,52
50,2016,3,,,2017,3,0,Backtest Inicial,TRUE,53
51,2016,3,,,2017,3,0,Backtest Inicial,TRUE,54
52,2016,3,,,2017,3,0,Backtest Inicial,TRUE,55
53,2013,6,,,2014,12,Segundo Backtest,deberia aparecer,TRUE,1


